panel_id,week,tg,ii,age,income,education,gender,t_kakao_talk,t_anipang,t_kakao_story,t_kakao_game,n_kakao_game,t_non_kakao_game,n_non_kakao_game,t_non_kakao_story,n_non_kakao_story,t_non_kakao_talk,n_non_kakao_talk,t_non_kakao,n_non_kakao
10005,1,0,0,2,1,3,Male,3049,0,0,0,0,10102,5,0,0,2038,3,37004,37
10005,2,0,0,2,1,3,Male,1144,0,0,0,0,2971,3,0,0,985,3,18715,23
10039,1,0,0,5,4,2,Female,10265,0,144,0,0,0,0,0,0,1624,2,18339,15
10039,2,0,0,5,4,2,Female,5752,0,0,0,0,0,0,0,0,1571,1,8152,13
10152,1,0,0,1,3,1,Male,1713,0,167,0,0,0,0,20258,1,1201,1,62496,21
10152,2,0,0,1,3,1,Male,4714,0,484,0,0,0,0,14411,1,3759,1,70896,23
10204,1,0,0,3,4,4,Male,3574,0,3958,0,0,0,0,4929,2,1780,1,28948,28
10204,2,0,0,3,4,4,Male,2550,0,3809,0,0,0,0,1935,3,2423,1,49001,29
10233,1,0,0,3,3,4,Female,9627,0,7562,0,0,0,0,0,0,1179,1,37493,21
10233,2,0,0,3,3,4,Female,4993,0,1935,205,1,556,1,0,0,976,1,30545,18
10270,1,0,0,5,4,4,Male,1079,0,0,0,0,0,0,0,0,599,1,5697,8
10270,2,0,0,5,4,4,Male,117,0,0,0,0,0,0,0,0,22344,1,23987,8
10277,1,0,0,4,2,4,Female,2036,0,0,0,0,60,1,0,0,974,2,2915,14
10277,2,0,0,4,2,4,Female,3450,0,0,0,0,0,0,0,0,1064,1,7327,12
1029,1,0,0,5,4,4,Male,4859,0,0,0,0,0,0,0,0,2955,2,6029,15
1029,2,0,0,5,4,4,Male,3259,0,382,0,0,0,0,0,0,1574,2,4680,15
10370,1,0,0,3,3,4,Male,3657,0,0,0,0,43745,4,690,1,1462,3,66657,34
10370,2,0,0,3,3,4,Male,9037,0,280,0,0,30183,5,1392,2,1711,1,56573,39
10410,1,0,0,5,3,4,Male,274,0,9,0,0,2899,2,0,0,2754,2,13997,20
10410,2,0,0,5,3,4,Male,1682,0,1639,0,0,4467,3,0,0,2490,3,26405,28
10418,1,0,0,3,3,4,Male,0,0,0,0,0,454,2,0,0,1157,2,4078,13
10418,2,0,0,3,3,4,Male,0,0,0,0,0,169,5,3,1,999,2,5578,21
1043,1,0,0,4,3,4,Male,510,0,0,0,0,0,0,0,0,839,1,14114,18
1043,2,0,0,4,3,4,Male,350,0,0,0,0,0,0,0,0,1720,1,5571,13
10463,1,1,0,2,1,2,Female,119366,0,4976,0,0,1566,4,497,1,6957,4,47819,39
10463,2,1,1,2,1,2,Female,95875,3367,9794,1588,1,11,1,5721,2,4507,4,74397,42
10465,1,0,0,4,3,4,Female,5786,0,0,0,0,0,0,27,1,6647,1,30067,18
10465,2,0,0,4,3,4,Female,1824,0,838,0,0,0,0,0,0,8486,1,15112,15
10496,1,1,0,3,3,4,Female,4944,0,175,0,0,18027,2,0,0,6985,2,104512,35
10496,2,1,1,3,3,4,Female,3187,138,977,0,0,15024,2,0,0,3180,2,91932,34
1052,1,0,0,3,3,4,Female,596,0,140,0,0,10,1,0,0,20398,5,134877,28
1052,2,0,0,3,3,4,Female,944,0,482,0,0,0,0,0,0,21120,5,83650,29
10538,1,0,0,3,2,4,Male,4888,0,413,0,0,0,0,2380,3,2635,4,11294,21
10538,2,0,0,3,2,4,Male,2325,0,2131,0,0,583,1,883,3,6054,6,27418,35
1054,1,0,0,3,3,4,Male,0,0,0,0,0,0,0,3,1,4984,2,28911,33
1054,2,0,0,3,3,4,Male,0,0,0,0,0,2284,4,0,0,1526,3,42889,37
10551,1,0,0,3,3,4,Male,4888,0,413,0,0,0,0,2380,3,2635,4,11294,21
10551,2,0,0,3,3,4,Male,2325,0,2131,0,0,583,1,883,3,6054,6,27418,35
10589,1,0,0,3,4,4,Female,3554,0,2383,0,0,1625,3,0,0,1337,2,13719,23
10589,2,0,0,3,4,4,Female,630,0,1332,0,0,1272,12,0,0,2230,1,22252,37
10685,1,0,0,2,2,3,Male,16959,0,0,0,0,31354,1,1332,1,1215,1,83567,25
